序号,歌曲名称,演唱者,歌曲下载次数
1,至少还有你,孙楠,72444次
2,小飞机,小爱与花儿乐队,92582次
3,节奏爱,潘高峰,65777次
4,我都记得,A-Lin,99203次
5,模特,李荣浩,19323次
6,你的爱,王力宏,8235次
7,焚情,张信哲,43614次
8,闺蜜蜜,柳翰雅,77602次
9,天然的最好,卢广仲,64764次
10,奔跑吧青蛙,莫艳琳,79000次
11,么么哒,华语群星,87756次
12,我不会在老地方等你,庄心妍,83223次
13,这么近那么远,容祖儿,40269次
14,恋人,罗中旭,75665次
15,因改变而美丽,乔任梁,51402次
16,不夜场,张敬轩,49794次
17,一人水一项,Selina,41521次
18,爱情大师,崔子格,6455次
19,就是现在,王力宏,66277次
20,闹啥子嘛闹,张杰,1260次
21,冬天的树,戚薇,89457次
22,你是如此难以忘记,李宇春,9144次
23,千秋,孙楠,77737次
24,敢为天下先,张靓颖,96512次
25,我是你免费的快乐,郑钧,27538次
26,敬女人,徐若瑄,15176次
27,Sorry我爱你,刘美麟,38708次
28,366次告白,覃桢,69853次
29,听爸爸的话,周杰伦,83229次
30,推开我,侯磊,50648次
31,懂了,黄美珍,3340次
32,戒不掉,李琦,53458次
33,时间,左立,60501次
34,我在神经什么,许佳慧,7597次
35,帮忙,徐良,44075次
36,让初恋像昨天,游鸿明,19938次
37,One Day,张峡浩,74553次
38,没有雪的圣诞夜,涂议嘉,22284次
39,有故事的女人,苏醒,94185次
40,恋爱格言,崔子格,41617次
41,那么问题就来了,吴莫愁,60984次
42,完全因你,张敬轩,58053次
43,沧浪之歌,汪峰,97129次
44,有过你,胡彦斌,37658次
45,看我的,Selina,94670次
46,美丽的谎言,魏晨,21105次
47,该怎么办,孙子涵,65993次
48,爱是黑白,袁咏琳,85111次
49,寒冬,吴奇隆,6337次
50,怎么好意思,周兴哲,24686次
51,莲花,李玉刚,9677次
52,自拍,葛仲珊,46078次
53,一切安好,莫文蔚,80569次
54,彩虹ABC,曹格,87877次
55,来年,顺子,32508次
56,没有更悲的伤,多亮,77385次
57,那个男人,郑兴琦,50162次
58,懂得自己,杨丞琳,22494次
59,说走就走的旅行,李行亮,95585次
60,特别的时光,叶一茜,76131次
61,到处都是爱,萧敬腾,20214次
62,火锅爽,柳翰雅,54370次
63,Mdada,张信哲,46234次
64,闭嘴,Eva,18059次
65,Set You Free,刘力扬,41221次
66,风月,黄龄,15286次
67,我要的现在就要,李易峰,22189次
68,往事只能回味,周深,83831次
69,问世间,陈翔,56896次
70,我们的明天,鹿晗,55991次
71,匆匆那年,王菲,36094次
72,我们都爱过,郁可唯,34874次
73,你好再见,戚薇,28758次
74,鸭梨大,至上励合,46242次
75,你我,陈晓,82839次
76,一吻之间,张碧晨,17180次
77,无字碑,张靓颖,97313次
78,小鸡小鸡,王蓉,35772次
79,信仰之名,TFBOYS,6084次
80,晚安宝贝,左立,93767次
81,其实我不懂,KingStar,27860次
82,一路上有爱,华语群星,43650次
83,唱给十年后的自己,李琦,97920次
84,不搭,李荣浩,36260次
85,爱的供养,张靓颖,43611次
86,喜剧之王,李荣浩,72727次
87,星座恋人,徐良,27717次
88,超级英雄,邓超,88991次
89,不该再是旧的,孙子涵,95757次
90,别再说分手,小贱,72314次
91,有一个地方,吴亦凡,48326次
92,时光十年,张杰,64153次
93,帽子戏法,魏晨,26883次
94,浩瀚,张杰,20530次
95,你说会陪着我,星弟,7262次
96,热恋过后,庄心妍,51772次
97,吉祥如意,吉祥如意,61213次
98,还不至于,庄心妍,70476次
99,你牛什么牛,唐古,43220次
100,幸好有你,张碧晨,14592次
101,路灯下的大女孩,崔子格,97344次
102,我并不是那么坚强,李琦,36874次
103,回忆里的那个人,李行亮,74152次
104,永远爱你的我,祁隆,79085次
105,老地方,张靓颖,39890次
106,落俗,李荣浩,74808次
107,无药可救,孙子涵,86490次
108,单身请举手,末小皮,10073次
109,别傻了,张星星,7988次
110,请叫我女王陛下,李斯丹妮,68833次
111,初衷模样,孙子涵,90214次
112,苏三起解,徐良,38295次
113,Lucky Lucky,戚薇,25492次
114,情歌唱给自己听,许佳慧,71924次
115,社会摇起来,马旭东,1580次
116,暖男,崔子格,76548次
117,天空海阔,许鹤缤,62485次
118,I Want You,至上励合,1127次
119,Falling In Love,UNIQ,12544次
120,一个人,星弟,13785次
121,胡撸胡撸瓢儿,大张伟,30234次
122,一百块钱都不给我,马健涛,23118次
123,有你就足够,祁隆,81014次
124,最美的回忆,六哲,24372次
125,关于青春,张阳阳,93654次
126,索菲亚,天空乐队,99958次
127,傻样,赵奕欢,49242次
128,I Will Be OK,徐良,54224次
129,海外姑娘,格杨,38055次
130,也许你已经忘了我,乔洋,32676次
131,只是忘了回家的路,孙子涵,85590次
132,寂寞DNA,崔子格,27147次
133,英雄,川子,33569次
134,你是我心底的疼,王键,49040次
135,Be Here,张靓颖,63421次
136,爱情风暴,小贱,12151次
137,奔跑吧兄弟,杨朗朗,84569次
138,就这个调调,王绎龙,32962次
139,你身边的,魏晨,8536次
140,一首情歌唱醉了我,魏君华,62932次
141,烂人,徐良,83507次
142,画地为牢,马旭东,37744次
143,爱之声,张碧晨,7256次
144,不爱又何必纠缠,威仔,29745次
145,错爱 忧伤三部曲,带泪的鱼,78399次
146,可惜没如果,林俊杰,74348次
147,算什么男人,周杰伦,97995次
148,独行,苏醒,89816次
149,失忆的金鱼,杨丞琳,54926次
150,Play 我呸,蔡依林,31652次
151,樱吹雪,周传雄,3597次
152,真的我,Ella,21226次
153,I Believe爱不离,金贵晟,21594次
154,我存在,谢霆锋,38067次
155,烟火里的尘埃,华晨宇,92317次
156,偶然,周深,74272次
157,天然呆,容祖儿,62811次
158,同行,陈翔,89036次
159,花开那年,魏晨,37248次
160,欲言又止,关喆,34043次
161,永远不分开,李易峰,58492次
162,爱不可及,王菲,29997次
163,我们到底还能相信..,陈翔,15564次
164,丝萝,李宇春,11940次
165,平凡之路,朴树,32319次
166,时间煮雨,吴亦凡,3086次
167,小苹果,筷子兄弟,66664次
168,山水之间,许嵩,1442次
169,金玉良缘,李琦,73083次
170,剑心,张杰,80430次
171,时间都去哪儿了,王铮亮,94819次
172,猛龙过江,筷子兄弟,95208次
173,My Destiny,LYn,75230次
174,谁 Control,韩庚,37023次
175,万花瞳,蔡依林,42395次
176,虹之间,金贵晟,33595次
177,花儿与少年,华晨宇,9789次
178,跟着你到天边,吴青峰,42982次
179,陪你走到底,张靓颖,4292次
180,花房姑娘,韩磊,81803次
181,想你的夜,茜拉,99812次
182,海阔天空,曹格,27072次
183,给所有知道我名字..,罗琦,67166次
184,我是真的爱你,张宇,44589次
185,童真年代,张学友,67354次
186,迷路,Selina,9883次
187,织女星,信乐团,23027次
188,为爱成魔,阿兰,82645次
189,给我个理由,六哲,84925次
190,爱幻想的女孩,带泪的鱼,85974次
191,单人季节,单色凌,43952次
192,旧时光,SARA,91680次
193,邂逅,徐良,21570次
194,我等的人,曹轩宾,99775次
195,Baby Boy,王心凌,92896次
